CustomerID,Recency,Frequency,Monetary,RecencyRS,FrequencyRS,MonetaryRS,cluster,R,F,M,RFMGroup,RFMScore,Segment,RFM_Loyalty_Level
12346.0,325,1,77183.6,2.2044088176352705,-0.49382716049382713,56.50556267377587,B,1,1,4,114,6,Hibernating,Silver
12347.0,2,182,4310.000000000001,-0.3847695390781563,1.7407407407407407,2.6891586017435753,C,4,4,4,444,12,Champions,Platinum
12348.0,75,31,1797.24,0.20040080160320642,-0.12345679012345678,0.8335111862729532,C,2,2,4,224,8,Hibernating,Gold
12349.0,18,73,1757.5500000000002,-0.2565130260521042,0.3950617283950617,0.8042005294971256,C,3,3,4,334,10,Loyal customers,Gold
12350.0,310,17,334.40000000000003,2.0841683366733466,-0.2962962962962963,-0.24678110795611907,C,1,1,2,112,4,Hibernating,Bronze
12352.0,36,85,2506.0400000000004,-0.11222444889779559,0.5432098765432098,1.3569526960413263,C,3,3,4,334,10,Loyal customers,Gold
12353.0,204,4,89.0,1.2344689378757514,-0.4567901234567901,-0.4280064839396951,C,1,1,1,111,3,Hibernating,Bronze
12354.0,232,58,1079.3999999999999,1.4589178356713426,0.20987654320987653,0.3033937294838324,C,1,3,3,133,7,At risk,Silver
12355.0,214,13,459.4,1.314629258517034,-0.345679012345679,-0.15446989362055677,C,1,1,2,112,4,Hibernating,Bronze
12356.0,22,59,2811.43,-0.22444889779559118,0.2222222222222222,1.582480070008825,C,3,3,4,334,10,Loyal customers,Gold
12357.0,33,131,6207.67,-0.13627254509018036,1.1111111111111112,4.090568378608908,C,3,4,4,344,11,Loyal customers,Platinum
12358.0,1,19,1168.06,-0.3927855711422846,-0.2716049382716049,0.36886822758776017,C,4,2,3,423,9,Potential loyalists,Gold
12359.0,57,245,6310.030000000001,0.056112224448897796,2.5185185185185186,4.166160185804014,C,2,4,4,244,10,Can't loose them,Gold
12360.0,52,129,2662.06,0.01603206412825651,1.0864197530864197,1.4721718613264014,C,2,4,4,244,10,Can't loose them,Gold
12361.0,287,10,189.89999999999998,1.8997995991983967,-0.38271604938271603,-0.3534928717280292,C,1,1,1,111,3,Hibernating,Bronze
12362.0,3,266,5226.23,-0.37675350701402804,2.7777777777777777,3.3657850330289527,C,4,4,4,444,12,Champions,Platinum
12363.0,109,23,552.0,0.4729458917835671,-0.2222222222222222,-0.08608574604077215,C,2,2,2,222,6,Hibernating,Silver
12364.0,7,85,1313.1000000000001,-0.34468937875751504,0.5432098765432098,0.47597877580560005,C,4,3,3,433,10,Champions,Gold
12365.0,291,22,641.3799999999999,1.9318637274549098,-0.2345679012345679,-0.02007953534227173,C,1,2,2,122,5,Hibernating,Bronze
12367.0,4,11,168.89999999999998,-0.3687374749498998,-0.37037037037037035,-0.3690011557364037,C,4,1,1,411,6,New customers,Silver
12370.0,51,166,3541.94,0.008016032064128256,1.5432098765432098,2.1219541914829985,C,2,4,4,244,10,Can't loose them,Gold
12371.0,44,63,1887.96,-0.04809619238476954,0.2716049382716049,0.900506973189131,C,3,3,4,334,10,Loyal customers,Gold
12372.0,71,52,1298.0400000000002,0.1683366733466934,0.13580246913580246,0.4648571207024515,C,2,3,3,233,8,At risk,Gold
12373.0,311,14,364.6,2.092184368737475,-0.3333333333333333,-0.22447871857264723,C,1,1,2,112,4,Hibernating,Bronze
